transaction_id,date,transaction_year,branch_id,branch_name,kota,provinsi,rating_transaction,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba_pct,nett_sales,nett_profit,total_transactions,total_profit,total_sales
TRX7774440,2021-10-23,2021,75181,Kimia Farma - Apotek,Palembang,Sumatera Selatan,4.4,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1919.3600000000001,19193.6
TRX6837691,2023-06-17,2023,86446,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.1,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,3837.1200000000003,38371.2
TRX9497397,2022-11-07,2022,28844,Kimia Farma - Apotek,Indramayu,Jawa Barat,4.1,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1279.7440000000001,12797.44
TRX5200917,2023-11-14,2023,60036,Kimia Farma - Apotek,Batam,Kepulauan Riau,4.9,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,4476.0960000000005,44760.96
TRX1175521,2022-07-12,2022,59607,Kimia Farma - Apotek,Magelang,Jawa Tengah,4.3,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1919.1680000000001,19191.68
TRX5700726,2022-02-25,2022,63942,Kimia Farma - Apotek,Bandung,Jawa Barat,5.0,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,3197.888,31978.88
TRX1835105,2021-02-25,2021,82832,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4.7,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1918.72,19187.2
TRX1878665,2021-04-13,2021,48130,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.7,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,2558.656,25586.56
TRX2999569,2020-11-19,2020,67859,Kimia Farma - Apotek,Karawang,Jawa Barat,4.5,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1918.7200000000003,19187.2
TRX2534048,2023-01-14,2023,65560,Kimia Farma - Apotek,Balikpapan,Kalimantan Timur,4.7,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,3196.8,31968.0
TRX8408357,2023-08-25,2023,25951,Kimia Farma - Apotek,Pekanbaru,Riau,4.5,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,3837.0560000000005,38370.56
TRX6488163,2022-06-04,2022,24277,Kimia Farma - Apotek,Lhokseumawe,Aceh,4.2,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,640.0,6400.0
TRX8998385,2022-12-08,2022,14469,Kimia Farma - Apotek,Purwokerto,Jawa Tengah,5.0,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1919.232,19192.32
TRX6930545,2021-03-07,2021,75553,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.3,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,3837.76,38377.6
TRX6666285,2021-03-30,2021,48667,Kimia Farma - Apotek,Cikampek,Jawa Barat,4.2,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,3198.4,31984.0
TRX6546900,2020-09-26,2020,82095,Kimia Farma - Apotek,Tomohon,Sulawesi Utara,4.4,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1919.68,19196.8
TRX3351772,2021-12-14,2021,87281,Kimia Farma - Apotek,Semarang,Jawa Tengah,4.4,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,2558.7200000000003,25587.2
TRX3807157,2023-03-25,2023,82240,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.2,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,2557.76,25577.6
TRX8006449,2021-10-12,2021,58103,Kimia Farma - Apotek,Karawang,Jawa Barat,4.7,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,2558.7200000000003,25587.2
TRX6519084,2021-07-19,2021,82894,Kimia Farma - Apotek,Tomohon,Sulawesi Utara,4.5,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1919.3600000000001,19193.6
TRX4497449,2022-06-02,2022,74030,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.5,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1918.976,19189.760000000002
TRX6890081,2021-03-28,2021,47503,Kimia Farma - Apotek,Denpasar,Bali,4.1,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1919.5520000000001,19195.52
TRX1013662,2023-08-30,2023,76351,Kimia Farma - Apotek,Palu,Sulawesi Tengah,4.4,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1919.872,19198.72
TRX8808913,2023-02-11,2023,37191,Kimia Farma - Apotek,Bima,Nusa Tenggara Barat,3.9,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,2558.208,25582.079999999998
TRX2043441,2021-09-07,2021,86446,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.1,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,3837.1200000000003,38371.2
TRX3795611,2023-03-22,2023,59607,Kimia Farma - Apotek,Magelang,Jawa Tengah,4.3,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1919.1680000000001,19191.68
TRX2737565,2023-10-07,2023,26671,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,4.1,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,2558.3360000000002,25583.36
TRX7853542,2021-04-05,2021,40120,Kimia Farma - Apotek,Jayapura,Papua,3.9,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1279.488,12794.880000000001
TRX2934060,2022-03-20,2022,61007,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4.0,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1918.7200000000003,19187.2
TRX8095236,2020-07-10,2020,16040,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.2,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,640.0,6400.0
TRX7573096,2023-11-30,2023,50821,Kimia Farma - Apotek,Deli Serdang,Sumatera Utara,4.5,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1918.7200000000003,19187.2
TRX7687611,2023-07-20,2023,63942,Kimia Farma - Apotek,Bandung,Jawa Barat,5.0,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,3197.888,31978.88
TRX8614828,2023-10-09,2023,81651,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.2,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1918.9120000000003,19189.120000000003
TRX3887597,2020-02-01,2020,55000,Kimia Farma - Apotek,Makassar,Sulawesi Selatan,4.0,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1919.488,19194.88
TRX1972862,2022-12-16,2022,89154,Kimia Farma - Apotek,Palembang,Sumatera Selatan,4.5,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1918.528,19185.28
TRX4432348,2023-02-05,2023,82636,Kimia Farma - Apotek,Palu,Sulawesi Tengah,4.7,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,3837.824,38378.24
TRX3647414,2023-02-19,2023,55000,Kimia Farma - Apotek,Makassar,Sulawesi Selatan,4.0,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1919.488,19194.88
TRX3869280,2022-06-01,2022,64238,Kimia Farma - Apotek,Jakarta,DKI Jakarta,4.0,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1279.5520000000001,12795.52
TRX7446131,2020-04-19,2020,60888,Kimia Farma - Apotek,Bekasi,Jawa Barat,4.1,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,2558.08,25580.8
TRX5076409,2023-06-08,2023,31305,Kimia Farma - Apotek,Sibolga,Sumatera Utara,4.2,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,640.0,6400.0
TRX5309371,2020-06-22,2020,52192,Kimia Farma - Apotek,Karawang,Jawa Barat,4.2,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1279.232,12792.32
TRX2735782,2022-02-18,2022,81487,Kimia Farma - Apotek,Lhokseumawe,Aceh,4.8,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.0,10.0,6400.0,640.0,1,1279.04,12790.400000000001
